rank,airline_iata,flight_count,airline_composite_score,on_time_arrival_pct,on_time_departure_pct,avg_arrival_delay_min,avg_departure_delay_min
1,S5,18,114.72,100.0,100.0,-26.0,-11.17
2,WY,6,110.33,100.0,75.0,-31.5,6.4
3,UL,6,103.82,100.0,75.0,-20.0,11.5
4,9I,14,102.13,100.0,70.0,-19.67,8.5
5,MK,8,98.77,100.0,50.0,-24.33,9.67
6,ET,21,97.61,100.0,55.56,-19.33,15.89
7,LX,8,97.36,100.0,50.0,-21.83,15.0
8,IC,8,97.36,100.0,66.67,-13.0,3.33
9,TK,24,96.0,100.0,56.25,-16.13,28.22
10,EK,12,93.38,100.0,44.44,-17.75,26.5
11,VS,597,93.17,94.75,60.59,-12.53,17.08
12,6E,816,92.57,94.17,60.4,-11.98,16.54
13,BA,85,92.45,95.38,61.43,-10.37,17.25
14,QF,516,92.31,94.9,58.27,-12.13,18.1
15,D0,7,92.25,100.0,60.0,-7.5,16.4
16,JL,474,92.06,95.43,56.68,-12.16,18.34
17,QR,14,91.15,100.0,50.0,-10.86,33.7
18,QP,122,90.54,95.06,51.02,-12.73,24.72
19,KL,80,89.35,89.47,62.12,-8.7,21.87
20,AF,88,89.24,90.16,61.19,-8.5,20.32
21,AI,431,86.66,88.26,50.44,-11.0,20.48
22,IX,299,85.65,88.21,49.79,-9.59,20.96
23,LH,23,84.6,82.35,44.44,-14.71,17.5
24,MH,29,83.88,94.12,45.0,-4.82,19.3
25,SQ,27,81.93,89.47,37.5,-8.63,23.88
26,NZ,7,76.21,100.0,14.29,-3.4,25.14
27,VA,7,76.21,100.0,14.29,-3.4,25.14
28,NH,11,74.43,87.5,22.22,-4.88,27.0
29,DL,9,73.75,71.43,33.33,-9.14,28.56
30,TG,5,73.02,100.0,0.0,-5.33,32.33
31,BZ,20,70.8,77.78,33.33,0.56,31.9
32,EY,12,70.57,77.78,20.0,-6.11,31.3
33,SG,15,70.57,100.0,0.0,-1.0,114.33
34,AA,13,67.23,66.67,33.33,-1.0,25.36
35,CX,8,62.14,66.67,0.0,-9.67,30.75
36,AC,12,57.26,70.0,0.0,1.3,29.09
37,AK,6,38.68,50.0,0.0,20.0,43.0
38,XC,6,18.68,0.0,0.0,20.0,60.5
